Date,KOSPI
3/14/2022,2645.65
3/15/2022,2621.53
3/16/2022,2659.23
3/17/2022,2694.51
3/18/2022,2707.02
3/21/2022,2686.05
3/22/2022,2710
3/23/2022,2735.05
3/24/2022,2729.66
3/25/2022,2729.98
3/28/2022,2729.56
3/29/2022,2741.07
3/30/2022,2746.74
3/31/2022,2757.65
4/1/2022,2739.85
4/4/2022,2757.9
4/5/2022,2759.2
4/6/2022,2735.03
4/7/2022,2695.86
4/8/2022,2700.39
4/11/2022,2693.1
4/12/2022,2666.76
4/13/2022,2716.49
4/14/2022,2716.71
4/15/2022,2696.06
4/18/2022,2693.21
4/19/2022,2718.89
4/20/2022,2718.69
4/21/2022,2728.21
4/22/2022,2704.71
4/25/2022,2657.13
4/26/2022,2668.31
4/27/2022,2639.06
4/28/2022,2667.49
4/29/2022,2695.05
5/2/2022,2687.45
5/3/2022,2680.46
5/4/2022,2677.57
5/6/2022,2644.51
5/9/2022,2610.81
5/10/2022,2596.56
5/11/2022,2592.27
5/12/2022,2550.08
5/13/2022,2604.24
5/16/2022,2596.58
5/17/2022,2620.44
5/18/2022,2625.98
5/19/2022,2592.34
5/20/2022,2639.29
5/23/2022,2647.38
5/24/2022,2605.87
5/25/2022,2617.22
5/26/2022,2612.45
5/27/2022,2638.05
5/30/2022,2669.66
5/31/2022,2685.9
6/2/2022,2658.99
6/3/2022,2670.65
6/7/2022,2626.34
6/8/2022,2626.15
6/9/2022,2625.44
6/10/2022,2595.87
6/13/2022,2504.51
6/14/2022,2492.97
6/15/2022,2447.38
6/16/2022,2451.41
6/17/2022,2440.93
6/20/2022,2391.03
6/21/2022,2408.93
6/22/2022,2342.81
6/23/2022,2314.32
6/24/2022,2366.6
6/27/2022,2401.92
6/28/2022,2422.09
6/29/2022,2377.99
6/30/2022,2332.64
7/1/2022,2305.42
7/4/2022,2300.34
7/5/2022,2341.78
7/6/2022,2292.01
7/7/2022,2334.27
7/8/2022,2350.61
7/11/2022,2340.27
7/12/2022,2317.76
7/13/2022,2328.61
7/14/2022,2322.32
7/15/2022,2330.98
7/18/2022,2375.25
7/19/2022,2370.97
7/20/2022,2386.85
7/21/2022,2409.16
7/22/2022,2393.14
7/25/2022,2403.69
7/26/2022,2412.96
7/27/2022,2415.53
7/28/2022,2435.27
7/29/2022,2451.5
8/1/2022,2452.25
8/2/2022,2439.62
8/3/2022,2461.45
8/4/2022,2473.11
8/5/2022,2490.8
8/8/2022,2493.1
8/9/2022,2503.46
8/10/2022,2480.88
8/11/2022,2523.78
8/12/2022,2527.94
8/16/2022,2533.52
8/17/2022,2516.47
8/18/2022,2508.05
8/19/2022,2492.69
8/22/2022,2462.5
8/23/2022,2435.34
8/24/2022,2447.45
8/25/2022,2477.26
8/26/2022,2481.03
8/29/2022,2426.89
8/30/2022,2450.93
8/31/2022,2472.05
9/1/2022,2415.61
9/2/2022,2409.41
9/5/2022,2403.68
9/6/2022,2410.02
9/7/2022,2376.46
9/8/2022,2384.28
9/13/2022,2449.54
9/14/2022,2411.42
9/15/2022,2401.83
9/16/2022,2382.78
9/19/2022,2355.66
9/20/2022,2367.85
9/21/2022,2347.21
9/22/2022,2332.31
9/23/2022,2290
9/26/2022,2220.94
9/27/2022,2223.86
9/28/2022,2169.29
9/29/2022,2170.93
9/30/2022,2155.49
10/4/2022,2209.38
10/5/2022,2215.22
10/6/2022,2237.86
10/7/2022,2232.84
10/11/2022,2192.07
10/12/2022,2202.47
10/13/2022,2162.87
10/14/2022,2212.55
10/17/2022,2219.71
10/18/2022,2249.95
10/19/2022,2237.44
10/20/2022,2218.09
10/21/2022,2213.12
10/24/2022,2236.16
10/25/2022,2235.07
10/26/2022,2249.56
10/27/2022,2288.78
10/28/2022,2268.4
10/31/2022,2293.61
11/1/2022,2335.22
11/2/2022,2336.87
11/3/2022,2329.17
11/4/2022,2348.43
11/7/2022,2371.79
11/8/2022,2399.04
11/9/2022,2424.41
11/10/2022,2402.23
11/11/2022,2483.16
11/14/2022,2474.65
11/15/2022,2480.33
11/16/2022,2477.45
11/17/2022,2442.9
11/18/2022,2444.48
11/21/2022,2419.5
11/22/2022,2405.27
11/23/2022,2418.01
11/24/2022,2441.33
11/25/2022,2437.86
11/28/2022,2408.27
11/29/2022,2433.39
11/30/2022,2472.53
